date,alert_status,blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,complexity,confirmed_issues,coverage,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,line_coverage,lines_to_cover,major_violations,minor_violations,ncloc,ncloc_language_distribution,new_development_cost,new_sqale_debt_ratio,open_issues,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,sqale_debt_ratio,sqale_index,sqale_rating,statements,violations
2020-12-16T16:30:18-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,2,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:34:46-0300,0,0,1,0,0,74,23,2,81,0,0,30480,0,0,0,0,0,0,19,44,0,0,475,1,0,1016,0,0,0,1,0,0,3,5,0,1,0,1,0,5,0,0,1,485,1
2020-12-16T16:39:15-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,2,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:39:31-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,2,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:39:47-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,2,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:40:04-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,2,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:40:20-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,3,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:40:36-0300,0,0,0,0,0,1,4,8,3,0,0,1230,0,0,0,0,0,0,3,2,0,0,20,0,0,41,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,20,0
2020-12-16T16:40:53-0300,0,0,0,0,0,1,4,8,3,0,0,1230,0,0,0,0,0,0,4,2,0,0,20,0,0,41,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,20,0
2020-12-16T16:41:10-0300,0,0,0,0,0,3,4,6,6,0,0,1680,0,0,0,0,0,0,4,3,0,0,32,0,0,56,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,32,0
2020-12-16T16:41:27-0300,0,0,0,0,0,3,4,6,7,0,0,1710,0,0,0,0,0,0,4,4,0,0,33,0,0,57,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,33,0
2020-12-16T16:41:46-0300,0,0,0,0,0,3,5,7,7,0,0,1740,0,0,0,0,0,0,4,4,0,0,34,0,0,58,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,1,34,0
2020-12-16T16:42:03-0300,0,0,0,0,0,3,5,7,7,0,0,1740,0,0,0,0,0,0,4,4,0,0,34,0,0,58,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,1,34,0
2020-12-16T16:42:19-0300,0,0,0,0,2,3,5,7,7,0,0,1800,0,0,0,0,0,0,4,4,0,0,36,1,1,60,0,0,0,2,0,0,1,0,0,1,0,1,0,5,1,20,1,36,2
2020-12-16T16:42:38-0300,0,0,0,0,2,3,5,7,7,0,0,1800,0,0,0,0,0,0,4,4,0,0,36,1,1,60,0,0,0,2,0,0,1,0,0,1,0,1,0,5,1,20,1,36,2
2020-12-16T16:42:55-0300,0,0,0,0,2,3,5,7,7,0,0,1800,0,0,0,0,0,0,4,4,0,0,36,1,1,60,0,0,0,2,0,0,1,0,0,1,0,1,0,5,1,20,1,36,2
2020-12-16T16:43:11-0300,0,0,0,0,2,3,5,7,7,0,0,1890,0,0,0,0,0,0,4,4,0,0,37,1,1,63,0,0,0,2,0,0,1,0,0,1,0,1,0,5,1,20,1,37,2
2020-12-16T16:43:29-0300,0,0,0,0,0,3,5,7,7,0,0,1890,0,0,0,0,0,0,4,4,0,0,37,0,0,63,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,1,37,0
2020-12-16T16:43:46-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,2,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:44:03-0300,0,0,0,0,0,1,4,15,3,0,0,660,0,0,0,0,0,0,2,2,0,0,17,0,0,22,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,17,0
2020-12-16T16:44:20-0300,0,0,0,0,0,1,5,14,5,0,0,900,0,0,0,0,0,0,2,4,0,0,19,0,0,30,0,0,0,0,0,0,1,0,0,2,0,1,0,5,0,0,1,19,0
2020-12-16T16:44:37-0300,0,0,0,0,0,1,5,20,4,0,0,600,0,0,0,0,0,0,4,3,0,0,13,0,0,20,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,1,13,0
2020-12-16T16:44:54-0300,0,0,0,0,0,1,5,20,4,0,0,600,0,0,0,0,0,0,4,3,0,0,13,0,0,20,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,1,13,0
